Client_ID,Client_Name,Bank_Name,Account_Type,Currency,Transaction_Amount,Interest_Rate,Maturity_Date,Email,Phone,Loan_Status,Remarks
80992,,CHASE,loan,EUR,40577,,,,1712345678,Rejected, good payer 
74451,john capital,HSBC, investment ,,284174,,2025.05.06,wrongmail,1712345678,Rejected, good payer 
,john capital,CITI, investment ,GBP,110344,,01/15/2024, CLIENT@BANK.COM ,01712-345678,Rejected,
,MARY INVEST,, investment ,EUR,$185862,,04/01/2025,,1712345678, PENDING , follow up 
80413,beta funds,,loan,EUR,,9.68,2024.03.22,client@mail.com,, PENDING , good payer 
13253,john capital,CITI,CURRENT,USD,,,05/26/2026, CLIENT@BANK.COM ,01712345678,Rejected, good payer 
64537,MARY INVEST,HSBC,CURRENT,BDT,482424,9.56,2024.06.24,wrongmail,,approved, HIGH RISK 
76302,john capital,WELLS FARGO,Savings,,,6.62,01/21/2026, CLIENT@BANK.COM ,01712-345678,Rejected, follow up 
84067,  alpha holdings ,HSBC,CURRENT,,393145,,01-06-2026,,01712-345678, PENDING , good payer 
39129,,BOFA, investment ,BDT,,2.64,20-07-2024,,01712-345678,, good payer 
79678,  alpha holdings ,,Savings,BDT,,10.94,,client@mail.com,1712345678,, good payer 
53516,john capital,CITI, investment ,EUR,419870,,,,,Rejected, HIGH RISK 
,beta funds,CITI,Savings,EUR,266264,7.9,,client@mail.com,,Rejected,
,,WELLS FARGO,loan,EUR,348437,6.77,09-05-2026,,01712-345678,approved,
46088,  alpha holdings ,BOFA,CURRENT,EUR,$310257,,2025.01.25,,01712345678,, follow up 
,john capital,CITI,loan,,$90027,7.36,01/12/2026,wrongmail,, PENDING ,
,,HSBC,Savings,EUR,$299653,7.1,,,01712-345678,, good payer 
,MARY INVEST,WELLS FARGO,CURRENT,BDT,$201347,2.47,2024.12.09,client@mail.com,1712345678, PENDING , follow up 
,  alpha holdings ,CHASE, investment ,USD,$90876,,,client@mail.com,01712345678,approved, good payer 
,  alpha holdings ,BOFA,Savings,,,,03/10/2026,client@mail.com,01712345678,Rejected,
,,HSBC,CURRENT,USD,366041,8.45,2024.06.26,wrongmail,01712-345678,approved, good payer 
69284,,BOFA,Savings,EUR,,7.14,2026.04.10, CLIENT@BANK.COM ,1712345678, PENDING , good payer 
43000,MARY INVEST,HSBC,loan,GBP,$453494,2.52,2025.03.20,,, PENDING , follow up 
84308,MARY INVEST,BOFA, investment ,,,2.74,2024.05.10, CLIENT@BANK.COM ,1712345678,Rejected,
,john capital,CITI,loan,,$162109,,2026.04.25,,,, good payer 
,,CHASE,CURRENT,,,,07/04/2024,client@mail.com,,Rejected,
,john capital,HSBC,Savings,GBP,$81874,,14-05-2024,,01712-345678,, follow up 
90103,,CHASE,Savings,EUR,,,2024.03.15,wrongmail,1712345678, PENDING , follow up 
,beta funds,CITI,CURRENT,USD,383274,6.62,20-03-2025,wrongmail,,Rejected,
23825,beta funds,CITI,Savings,BDT,$184134,6.52,,client@mail.com,1712345678, PENDING , good payer 
,beta funds,WELLS FARGO,loan,BDT,$472687,,,,1712345678,Rejected, follow up 
33819,,,loan,BDT,102541,11.04,12/13/2024,client@mail.com,1712345678,, good payer 
78147,  alpha holdings ,HSBC,CURRENT,EUR,$177494,7.65,24-04-2026,client@mail.com,01712345678, PENDING , follow up 
,john capital,BOFA,loan,,7805,10.86,07/09/2024,wrongmail,,Rejected,
,  alpha holdings ,CHASE, investment ,GBP,,,2024.04.30,wrongmail,1712345678,approved, good payer 
,MARY INVEST,,CURRENT,EUR,$100846,,14-08-2025,wrongmail,, PENDING , follow up 
,beta funds,,loan,BDT,$131489,6.09,03-03-2024,,01712345678,approved, good payer 
,  alpha holdings ,HSBC,loan,,320268,,,wrongmail,,approved, HIGH RISK 
59915,,CHASE,loan,BDT,$412698,,07-04-2024, CLIENT@BANK.COM ,01712345678,approved,
68683,  alpha holdings ,WELLS FARGO,Savings,BDT,,,12/13/2025,client@mail.com,,, good payer 
,john capital,HSBC,loan,BDT,,10.33,24-02-2024,,,Rejected,
79224,  alpha holdings ,,CURRENT,USD,,,2024.01.08,wrongmail,1712345678,, HIGH RISK 
,,WELLS FARGO,CURRENT,GBP,,,22-11-2025, CLIENT@BANK.COM ,01712-345678,approved, good payer 
,MARY INVEST,,Savings,USD,19273,,, CLIENT@BANK.COM ,01712-345678,,
,john capital,,Savings,EUR,346893,7.15,,client@mail.com,1712345678,approved, follow up 
,,CHASE,loan,EUR,,,2025.05.03,,01712345678,, follow up 
,  alpha holdings ,CHASE,Savings,GBP,343995,,01/22/2024,client@mail.com,, PENDING , follow up 
71422,  alpha holdings ,CHASE,loan,BDT,76533,3.77,01/05/2024,,,approved,
86752,beta funds,BOFA,loan,USD,$6873,,05/11/2025,wrongmail,01712-345678,,
,  alpha holdings ,CHASE,loan,BDT,,6.09,11/07/2024,client@mail.com,01712345678,approved, follow up 
,beta funds,WELLS FARGO,Savings,USD,,5.85,,wrongmail,01712-345678,Rejected, follow up 
,john capital,CHASE,loan,BDT,,,08/16/2024,,01712-345678,Rejected, follow up 
39144,MARY INVEST,CITI, investment ,,$84834,4.05,2024.07.23,wrongmail,1712345678,approved, good payer 
53612,beta funds,HSBC,CURRENT,USD,439728,6.61,2025.03.19,client@mail.com,01712-345678,approved, HIGH RISK 
57253,beta funds,BOFA,loan,BDT,,5.52,11/29/2024,,, PENDING , good payer 
,  alpha holdings ,CITI,loan,EUR,326363,,16-04-2026, CLIENT@BANK.COM ,01712-345678, PENDING , follow up 
64124,MARY INVEST,HSBC,Savings,USD,190078,3.49,01-12-2025, CLIENT@BANK.COM ,1712345678,Rejected, HIGH RISK 
,john capital,BOFA,Savings,BDT,119167,,08-12-2024,wrongmail,01712-345678, PENDING , good payer 
49826,  alpha holdings ,CHASE,CURRENT,,$114192,3.03,2025.02.10, CLIENT@BANK.COM ,01712-345678,Rejected,
65600,  alpha holdings ,CITI, investment ,USD,$8601,,2025.06.22, CLIENT@BANK.COM ,1712345678,approved, HIGH RISK 
83988,MARY INVEST,CHASE,CURRENT,EUR,352579,,,,01712-345678,Rejected, follow up 
,,BOFA,Savings,BDT,,,,client@mail.com,,approved, follow up 
,,WELLS FARGO, investment ,,246928,,04/19/2025,client@mail.com,1712345678,,
68785,beta funds,CHASE, investment ,USD,88249,,2025.01.03,wrongmail,1712345678,, good payer 
,beta funds,CITI,loan,,,,,client@mail.com,01712345678,Rejected,
,john capital,HSBC,loan,BDT,,6.97,16-09-2024, CLIENT@BANK.COM ,01712345678,, HIGH RISK 
,,HSBC, investment ,BDT,$127782,3.61,11-11-2025,wrongmail,01712-345678,Rejected, HIGH RISK 
67178,MARY INVEST,CHASE,CURRENT,EUR,469459,,23-01-2025,,1712345678,Rejected, good payer 
68359,john capital,CITI, investment ,EUR,175816,,2025.08.23, CLIENT@BANK.COM ,,approved, good payer 
56387,beta funds,CITI, investment ,USD,,,23-12-2024,,01712-345678,Rejected, HIGH RISK 
50632,beta funds,WELLS FARGO,loan,USD,,,2024.10.18, CLIENT@BANK.COM ,01712345678, PENDING , follow up 
,beta funds,CHASE, investment ,BDT,118300,,, CLIENT@BANK.COM ,1712345678,, HIGH RISK 
50188,beta funds,HSBC,Savings,,46125,,,,1712345678, PENDING , follow up 
49358,john capital,CHASE, investment ,BDT,,,20-10-2024,client@mail.com,1712345678,, follow up 
,  alpha holdings ,BOFA,Savings,USD,$418258,7.86,08/06/2025,,1712345678,Rejected,
17302,,CHASE,loan,BDT,,6.99,24-10-2024,wrongmail,,approved, follow up 
,,CITI,CURRENT,,351296,,13-04-2025,wrongmail,01712-345678, PENDING , HIGH RISK 
50128,john capital,, investment ,,307339,,2025.07.17,client@mail.com,1712345678,, follow up 
,  alpha holdings ,BOFA,CURRENT,USD,,,2024.04.10,wrongmail,, PENDING , follow up 
,,, investment ,,,11.61,20-01-2025, CLIENT@BANK.COM ,01712345678,, good payer 
61692,john capital,,Savings,GBP,422106,,03/29/2026,,1712345678,, HIGH RISK 
90601,  alpha holdings ,BOFA,Savings,GBP,$67697,2.92,14-02-2024,,,Rejected, good payer 
,john capital,HSBC,Savings,EUR,,3.5,2025.10.15,,,,
,,WELLS FARGO,CURRENT,,$385196,7.38,2026.04.19,client@mail.com,01712-345678,Rejected, follow up 
,john capital,CHASE,CURRENT,USD,$329202,2.67,02/03/2025, CLIENT@BANK.COM ,01712345678, PENDING , good payer 
,MARY INVEST,BOFA,Savings,GBP,,4.51,07/28/2025,wrongmail,1712345678, PENDING , follow up 
28482,,CHASE,CURRENT,BDT,65274,,,client@mail.com,1712345678,,
,john capital,WELLS FARGO, investment ,,146154,4.96,, CLIENT@BANK.COM ,,approved, good payer 
,beta funds,BOFA,loan,,302040,4.31,,client@mail.com,1712345678,, good payer 
37044,john capital,, investment ,BDT,97729,,07-09-2024,wrongmail,01712345678, PENDING ,
,,,Savings,USD,238758,6.63,2024.03.18,wrongmail,1712345678,Rejected, good payer 
,john capital,CITI,loan,GBP,$272692,,02-04-2025,wrongmail,1712345678,Rejected,
,  alpha holdings ,BOFA, investment ,EUR,125740,6.61,12-04-2025, CLIENT@BANK.COM ,01712-345678,, HIGH RISK 
,beta funds,WELLS FARGO,loan,,,,18-06-2026,wrongmail,1712345678, PENDING ,
,  alpha holdings ,HSBC,Savings,BDT,$104733,4.02,24-06-2024, CLIENT@BANK.COM ,, PENDING , good payer 
84499,MARY INVEST,,Savings,BDT,265229,6.81,11/15/2024, CLIENT@BANK.COM ,01712345678,, follow up 
23417,MARY INVEST,CITI,Savings,GBP,,,2025.03.21,wrongmail,01712-345678, PENDING , HIGH RISK 
,beta funds,CHASE,Savings,GBP,217862,5.38,09/01/2024,client@mail.com,,Rejected,
88894,john capital,HSBC,Savings,,33490,10.07,,,1712345678,approved, HIGH RISK 
53861,,BOFA,CURRENT,USD,337191,,2025.05.04,wrongmail,01712-345678,approved, HIGH RISK 
,MARY INVEST,HSBC, investment ,GBP,387078,8.68,02/03/2024,wrongmail,1712345678,Rejected, good payer 
,john capital,WELLS FARGO, investment ,EUR,165930,9.71,,wrongmail,, PENDING , HIGH RISK 
78182,  alpha holdings ,HSBC,Savings,,63450,3.98,,wrongmail,,approved, good payer 
,MARY INVEST,, investment ,GBP,264116,10.74,2024.11.13,client@mail.com,01712-345678,Rejected,
,,CITI, investment ,BDT,,,16-10-2025, CLIENT@BANK.COM ,,approved, follow up 
,beta funds,WELLS FARGO,loan,BDT,94948,8.91,2024.06.27,client@mail.com,01712-345678,Rejected, good payer 
,  alpha holdings ,CITI,CURRENT,BDT,$368956,,2024.12.05, CLIENT@BANK.COM ,, PENDING , follow up 
35887,,,CURRENT,,$461569,,,wrongmail,1712345678,Rejected, HIGH RISK 
,MARY INVEST,HSBC, investment ,USD,,11.04,,client@mail.com,01712345678, PENDING , HIGH RISK 
83433,MARY INVEST,WELLS FARGO, investment ,,$423928,,07-07-2024,wrongmail,01712-345678,, follow up 
,  alpha holdings ,HSBC,loan,EUR,$39953,,2026.06.14,wrongmail,1712345678,Rejected, HIGH RISK 
,john capital,WELLS FARGO,CURRENT,BDT,270769,11.27,23-02-2026,wrongmail,1712345678, PENDING ,
40116,,CITI,loan,EUR,$373850,,2024.09.02,wrongmail,,Rejected, HIGH RISK 
37297,,HSBC,loan,,257337,9.36,2025.12.08, CLIENT@BANK.COM ,,approved,
55938,john capital,, investment ,,,,2025.11.23,client@mail.com,,Rejected, HIGH RISK 
,john capital,,loan,BDT,$404916,,2024.06.29, CLIENT@BANK.COM ,,, good payer 
52436,  alpha holdings ,WELLS FARGO,CURRENT,GBP,,,01/01/2026,wrongmail,,, follow up 
,beta funds,CITI, investment ,,$211986,,03/22/2025,wrongmail,01712-345678,approved,
66872,john capital,WELLS FARGO,CURRENT,BDT,$461870,,2026.06.08,wrongmail,01712345678,, good payer 
,  alpha holdings ,CITI,Savings,USD,$232231,,09-01-2026,,01712-345678,approved,
38079,beta funds,BOFA,loan,GBP,$361348,,11-01-2026,,01712345678,approved, follow up 
58719,MARY INVEST,WELLS FARGO, investment ,,,,,wrongmail,01712345678,Rejected, follow up 
25806,john capital,BOFA,CURRENT,BDT,,,03/04/2026,client@mail.com,01712345678,Rejected,
62003,john capital,,CURRENT,BDT,,,, CLIENT@BANK.COM ,01712-345678,, good payer 
96768,,, investment ,EUR,43038,2.49,12/10/2025, CLIENT@BANK.COM ,01712345678, PENDING , good payer 
65037,MARY INVEST,HSBC,Savings,GBP,392072,9.66,29-04-2026,client@mail.com,1712345678,Rejected, follow up 
,  alpha holdings ,WELLS FARGO, investment ,BDT,$1869,4.59,07/13/2024,wrongmail,1712345678, PENDING , follow up 
21492,  alpha holdings ,CHASE,loan,EUR,$266719,,11-05-2024, CLIENT@BANK.COM ,01712345678, PENDING , follow up 
,john capital,BOFA,CURRENT,EUR,$290801,,2024.08.07,client@mail.com,,, HIGH RISK 
83424,beta funds,HSBC,CURRENT,EUR,,,09-05-2025,wrongmail,01712345678,Rejected, follow up 
,john capital,HSBC, investment ,,$250191,9.7,2026.04.22, CLIENT@BANK.COM ,1712345678,Rejected, HIGH RISK 
13720,john capital,BOFA,loan,USD,,,22-10-2024,wrongmail,01712345678,, HIGH RISK 
24922,  alpha holdings ,WELLS FARGO,CURRENT,USD,259449,,08-01-2024,,01712345678,, good payer 
73354,MARY INVEST,,CURRENT,USD,,,,client@mail.com,,Rejected, follow up 
,  alpha holdings ,HSBC,Savings,GBP,153124,11.39,, CLIENT@BANK.COM ,1712345678,Rejected, good payer 
27291,MARY INVEST,,CURRENT,GBP,$104922,,2024.02.09, CLIENT@BANK.COM ,01712-345678,approved, HIGH RISK 
,beta funds,HSBC, investment ,GBP,,12.37,,wrongmail,01712-345678, PENDING , HIGH RISK 
,  alpha holdings ,WELLS FARGO, investment ,USD,,,07/11/2025,,01712345678, PENDING , follow up 
,beta funds,CHASE,loan,BDT,$144112,6.67,06/04/2024,client@mail.com,01712-345678,, good payer 
88985,  alpha holdings ,WELLS FARGO,CURRENT,BDT,,,,client@mail.com,01712-345678,Rejected, HIGH RISK 
,john capital,BOFA,Savings,GBP,371640,,17-12-2024, CLIENT@BANK.COM ,01712-345678,, HIGH RISK 
12247,MARY INVEST,BOFA,loan,USD,,,24-05-2024,,1712345678,Rejected, HIGH RISK 
,MARY INVEST,BOFA,CURRENT,,,6.46,, CLIENT@BANK.COM ,,approved,
,john capital,HSBC,loan,,,,05/23/2024,client@mail.com,01712345678,approved, good payer 
,john capital,HSBC,Savings,GBP,,,08/22/2024, CLIENT@BANK.COM ,01712345678,approved, follow up 
,,HSBC,CURRENT,EUR,$293451,3.77,2024.06.27,,01712345678,approved, HIGH RISK 
,MARY INVEST,WELLS FARGO, investment ,BDT,,,20-07-2025,client@mail.com,01712-345678,,
40441,MARY INVEST,,CURRENT,EUR,$202677,5.97,2025.05.18,,1712345678, PENDING ,
,MARY INVEST,CITI,CURRENT,GBP,$348537,,03/27/2025,client@mail.com,01712-345678, PENDING , follow up 
96877,  alpha holdings ,CHASE, investment ,GBP,,,2025.06.12,wrongmail,1712345678,, follow up 
46134,  alpha holdings ,HSBC,CURRENT,USD,,7.38,2026.02.14,wrongmail,01712-345678,Rejected,
86076,  alpha holdings ,CHASE,loan,BDT,$402016,7.02,02-08-2025,wrongmail,1712345678,,
12480,beta funds,WELLS FARGO,Savings,BDT,$494716,11.41,02/22/2026,client@mail.com,,approved, HIGH RISK 
93190,MARY INVEST,BOFA,Savings,BDT,,7.48,2026.06.08,,01712-345678, PENDING , follow up 
,MARY INVEST,,CURRENT,BDT,399467,,2024.10.10,,1712345678,Rejected,
34382,beta funds,BOFA,CURRENT,BDT,,6.44,11/12/2024,wrongmail,,, HIGH RISK 
,,BOFA,CURRENT,USD,403204,5.66,,,01712345678,Rejected, HIGH RISK 
95714,john capital,CITI,CURRENT,GBP,$440850,,,client@mail.com,1712345678,Rejected, follow up 
,beta funds,CITI,Savings,GBP,242023,10.42,08/21/2025,,1712345678,, HIGH RISK 
49539,beta funds,WELLS FARGO,Savings,BDT,$30472,12.26,05/07/2025, CLIENT@BANK.COM ,01712345678, PENDING , follow up 
50841,MARY INVEST,HSBC,CURRENT,EUR,311755,,07-03-2026, CLIENT@BANK.COM ,01712-345678, PENDING , good payer 
,  alpha holdings ,BOFA,Savings,EUR,$186467,7.82,2025.01.06,client@mail.com,,Rejected, good payer 
,john capital,CITI,Savings,EUR,314710,4.22,02-04-2026,client@mail.com,1712345678,approved,
24612,john capital,WELLS FARGO,Savings,GBP,,,15-10-2025,,01712-345678, PENDING , good payer 
,john capital,CHASE,Savings,USD,$339625,10.94,2025.04.22, CLIENT@BANK.COM ,01712345678,Rejected,
67295,john capital,CHASE,Savings,BDT,$452403,,2024.07.29,wrongmail,01712345678,, good payer 
,,,Savings,GBP,,,22-02-2026,wrongmail,1712345678,Rejected,
,beta funds,HSBC, investment ,BDT,$286634,,, CLIENT@BANK.COM ,,Rejected, follow up 
12850,beta funds,CITI,Savings,USD,$227492,2.46,01/06/2026, CLIENT@BANK.COM ,1712345678,Rejected, follow up 
49041,john capital,HSBC,Savings,BDT,$477822,,, CLIENT@BANK.COM ,01712345678, PENDING , follow up 
,john capital,CITI,Savings,BDT,$455190,6.49,25-12-2025,client@mail.com,,approved, good payer 
,beta funds,CITI,loan,GBP,$440094,,2024.12.19, CLIENT@BANK.COM ,1712345678,,
,MARY INVEST,, investment ,USD,$203788,,,,01712-345678,,
59877,MARY INVEST,WELLS FARGO,Savings,BDT,496409,,,wrongmail,,,
,MARY INVEST,BOFA, investment ,GBP,,,2024.09.17,,01712-345678,approved, HIGH RISK 
,,BOFA,CURRENT,BDT,243766,,,,01712345678,, HIGH RISK 
,  alpha holdings ,HSBC,CURRENT,EUR,103570,12.31,2025.01.22,client@mail.com,1712345678, PENDING , HIGH RISK 
,beta funds,CHASE,loan,BDT,,,26-08-2024, CLIENT@BANK.COM ,1712345678,approved, follow up 
85212,MARY INVEST,BOFA,loan,BDT,,,, CLIENT@BANK.COM ,1712345678,approved, good payer 
,john capital,WELLS FARGO,Savings,EUR,427929,,2024.08.22, CLIENT@BANK.COM ,01712345678,Rejected, HIGH RISK 
88287,,,loan,BDT,,11.39,,wrongmail,01712-345678,Rejected,
83736,john capital,,loan,BDT,,9.57,04/19/2026,client@mail.com,01712-345678,approved, follow up 
85614,MARY INVEST,CHASE, investment ,,$386847,,11/09/2024,,01712-345678,Rejected, HIGH RISK 
,,WELLS FARGO,CURRENT,BDT,460634,,2024.02.08,client@mail.com,,, HIGH RISK 
,  alpha holdings ,CHASE,Savings,GBP,$224444,,2024.12.17, CLIENT@BANK.COM ,,Rejected,
,MARY INVEST,CITI, investment ,EUR,386792,,2024.04.07,client@mail.com,01712345678,Rejected, HIGH RISK 
,  alpha holdings ,,loan,USD,,,2024.03.31,,01712-345678, PENDING , HIGH RISK 
,MARY INVEST,WELLS FARGO,CURRENT,,$332348,,2025.08.16,client@mail.com,01712345678, PENDING ,
,john capital,HSBC, investment ,BDT,$182816,,01/26/2024,wrongmail,,Rejected,
65498,,BOFA,Savings,GBP,$182001,5.84,23-10-2024, CLIENT@BANK.COM ,1712345678,, good payer 
70570,john capital,HSBC, investment ,BDT,$249747,2.56,29-08-2024,,1712345678, PENDING ,
,beta funds,CHASE, investment ,,$112441,,03/13/2024,client@mail.com,, PENDING , good payer 
,  alpha holdings ,WELLS FARGO,loan,,$410245,,23-09-2024,wrongmail,,Rejected, follow up 
97351,  alpha holdings ,HSBC,CURRENT,EUR,,,2025.12.02,wrongmail,,, follow up 
61280,,WELLS FARGO,loan,BDT,$176394,2.16,,,01712-345678, PENDING ,
,MARY INVEST,HSBC,loan,GBP,$390637,,12/21/2025, CLIENT@BANK.COM ,01712345678,approved, follow up 
,john capital,WELLS FARGO,CURRENT,EUR,,11.31,2026.06.08,,1712345678,approved,
70891,,CHASE,Savings,USD,,1.64,03-06-2025,,,,
,,,CURRENT,USD,$148787,,10/22/2024, CLIENT@BANK.COM ,, PENDING , HIGH RISK 
74340,beta funds,,loan,BDT,395302,,02/26/2026, CLIENT@BANK.COM ,01712-345678, PENDING ,
