client_id,id_missing,client_name,bank_name,account_type,currency,transaction_amount,risk_category,interest_rate,interest_classification,maturity_date,maturity_status,email,email_check,phone,loan_status,remarks
25684,No,John Capital,BOFA,Savings,Unknown,null,Unknown,3.32,Low,1/30/2024,Expired,Invalid Email,Invalid,1712345678,Pending,Good Payer
null,Yes,John Capital,HSBC,Investment,BDT,null,Unknown,null,Unknown,2/3/2024,Expired,Invalid Email,Invalid,1712345678,Approved,Follow Up
null,Yes,Unknown Client,CITI,Investment,USD,null,Unknown,3.11,Low,null,Unknown,Invalid Email,Invalid,1712345678,Pending,High Risk
null,Yes,Unknown Client,CITI,Savings,BDT,133578,Medium,3.16,Low,3/11/2024,Expired,Invalid Email,Invalid,1712345678,Rejected,High Risk
null,Yes,Alpha Holdings,Unknown Bank,Loan,BDT,215328,Medium,null,Unknown,null,Unknown,client@mail.com,Valid,1712345678,Unknown,High Risk
null,Yes,Alpha Holdings,Wells Fargo,Current,EUR,147537,Medium,null,Unknown,null,Unknown,client@bank.com,Valid,1712345678,Rejected,Good Payer
null,Yes,Alpha Holdings,HSBC,Investment,USD,365493,High,7.05,Medium,2/18/2026,Expired,Invalid Email,Invalid,1712345678,Unknown,Good Payer
null,Yes,John Capital,BOFA,Current,GBP,167155,Medium,null,Unknown,7/5/2024,Expired,Invalid Email,Invalid,1712345678,Unknown,High Risk
61364,No,Beta Funds,HSBC,Current,GBP,null,Unknown,9.03,Medium,4/26/2024,Expired,client@bank.com,Valid,1712345678,Approved,Follow Up
null,Yes,Unknown Client,BOFA,Investment,BDT,382617,High,10.78,High,9/6/2024,Expired,client@mail.com,Valid,Unknown,Rejected,No Remarks
38679,No,Beta Funds,CITI,Loan,Unknown,381419,High,null,Unknown,5/4/2024,Expired,Invalid Email,Invalid,1712345678,Pending,Good Payer
31770,No,Mary Invest,CHASE,Savings,EUR,139771,Medium,11.67,High,2/23/2025,Expired,client@bank.com,Valid,1712345678,Rejected,Follow Up
50725,No,Unknown Client,CHASE,Current,GBP,null,Unknown,12.1,High,5/12/2024,Expired,Unknown,Missing,Unknown,Rejected,Follow Up
null,Yes,Beta Funds,Unknown Bank,Investment,GBP,485619,High,4.6,Low,3/20/2026,Expired,Invalid Email,Invalid,1712345678,Unknown,Follow Up
null,Yes,Mary Invest,Wells Fargo,Loan,Unknown,321431,High,null,Unknown,10/3/2024,Expired,Unknown,Missing,1712345678,Pending,Good Payer
null,Yes,John Capital,BOFA,Loan,BDT,null,Unknown,10.19,High,6/2/2026,Expired,Unknown,Missing,1712345678,Approved,High Risk
22358,No,John Capital,Wells Fargo,Investment,BDT,390079,High,null,Unknown,null,Unknown,client@mail.com,Valid,1712345678,Approved,High Risk
47113,No,John Capital,HSBC,Loan,EUR,null,Unknown,null,Unknown,null,Unknown,client@mail.com,Valid,1712345678,Unknown,High Risk
63510,No,Unknown Client,Wells Fargo,Savings,EUR,342081,High,null,Unknown,1/8/2025,Expired,Invalid Email,Invalid,1712345678,Approved,Follow Up
null,Yes,Alpha Holdings,CITI,Loan,USD,null,Unknown,null,Unknown,9/18/2024,Expired,client@bank.com,Valid,1712345678,Rejected,Good Payer
null,Yes,Alpha Holdings,Unknown Bank,Savings,Unknown,328759,High,null,Unknown,10/4/2024,Expired,Unknown,Missing,1712345678,Unknown,No Remarks
null,Yes,Unknown Client,Wells Fargo,Current,BDT,486774,High,null,Unknown,8/5/2025,Expired,Invalid Email,Invalid,1712345678,Unknown,No Remarks
52225,No,Alpha Holdings,Wells Fargo,Current,BDT,295640,Medium,null,Unknown,4/19/2024,Expired,client@bank.com,Valid,Unknown,Unknown,No Remarks
32611,No,Beta Funds,CHASE,Current,EUR,null,Unknown,null,Unknown,4/22/2026,Expired,Unknown,Missing,Unknown,Pending,Follow Up
86236,No,Beta Funds,CITI,Investment,Unknown,20182,Low,null,Unknown,9/26/2024,Expired,Unknown,Missing,1712345678,Pending,Good Payer
null,Yes,Beta Funds,Unknown Bank,Current,GBP,140693,Medium,7.89,Medium,10/22/2024,Expired,client@mail.com,Valid,1712345678,Pending,Good Payer
62524,No,Alpha Holdings,Unknown Bank,Loan,GBP,null,Unknown,null,Unknown,7/4/2024,Expired,Invalid Email,Invalid,1712345678,Rejected,High Risk
82234,No,Beta Funds,CITI,Investment,USD,null,Unknown,null,Unknown,9/29/2025,Expired,client@mail.com,Valid,Unknown,Approved,Good Payer
null,Yes,Unknown Client,Wells Fargo,Loan,GBP,null,Unknown,11.22,High,3/23/2026,Expired,Unknown,Missing,1712345678,Pending,High Risk
22853,No,John Capital,Unknown Bank,Savings,EUR,23168,Low,null,Unknown,7/17/2025,Expired,Invalid Email,Invalid,1712345678,Approved,Good Payer
null,Yes,Mary Invest,HSBC,Savings,BDT,396093,High,null,Unknown,null,Unknown,client@bank.com,Valid,1712345678,Unknown,Good Payer
67037,No,Beta Funds,Unknown Bank,Current,Unknown,152234,Medium,6.4,Medium,5/4/2026,Expired,Unknown,Missing,Unknown,Approved,Good Payer
null,Yes,Beta Funds,Unknown Bank,Investment,GBP,393266,High,5.52,Medium,null,Unknown,Unknown,Missing,1712345678,Approved,No Remarks
null,Yes,Mary Invest,BOFA,Savings,Unknown,87927,Low,null,Unknown,null,Unknown,Unknown,Missing,1712345678,Rejected,Follow Up
43521,No,Mary Invest,HSBC,Investment,Unknown,344969,High,null,Unknown,10/8/2025,Expired,client@bank.com,Valid,1712345678,Unknown,High Risk
44254,No,Alpha Holdings,CITI,Savings,USD,124010,Medium,3.89,Low,null,Unknown,client@bank.com,Valid,Unknown,Unknown,Good Payer
45649,No,Unknown Client,BOFA,Loan,USD,464934,High,9.33,Medium,12/21/2025,Expired,client@bank.com,Valid,1712345678,Approved,Follow Up
null,Yes,John Capital,Unknown Bank,Current,EUR,null,Unknown,null,Unknown,10/16/2025,Expired,Unknown,Missing,1712345678,Pending,No Remarks
null,Yes,Unknown Client,CHASE,Loan,Unknown,214530,Medium,8.28,Medium,7/18/2024,Expired,Unknown,Missing,Unknown,Rejected,No Remarks
