client_id,id_missing,client_name,bank_name,account_type,currency,transaction_amount,risk_category,interest_rate,interest_classification,maturity_date,maturity_status,email,email_check,phone,loan_status,remarks
25684,No,John Capital,BOFA,Savings,Unknown,null,Unknown,3.32,Low,1/30/2024,Expired,Invalid Email,Invalid,1712345678,Pending,Good Payer
null,Yes,John Capital,HSBC,Investment,BDT,null,Unknown,null,Unknown,2/3/2024,Expired,Invalid Email,Invalid,1712345678,Approved,Follow Up
null,Yes,Unknown Client,CITI,Investment,USD,null,Unknown,3.11,Low,null,Unknown,Invalid Email,Invalid,1712345678,Pending,High Risk
null,Yes,Unknown Client,CITI,Savings,BDT,133578,Medium,3.16,Low,3/11/2024,Expired,Invalid Email,Invalid,1712345678,Rejected,High Risk
null,Yes,Alpha Holdings,Unknown Bank,Loan,BDT,215328,Medium,null,Unknown,null,Unknown,client@mail.com,Valid,1712345678,Unknown,High Risk
null,Yes,Alpha Holdings,Wells Fargo,Current,EUR,147537,Medium,null,Unknown,null,Unknown,client@bank.com,Valid,1712345678,Rejected,Good Payer
null,Yes,Alpha Holdings,HSBC,Investment,USD,365493,High,7.05,Medium,2/18/2026,Expired,Invalid Email,Invalid,1712345678,Unknown,Good Payer
null,Yes,John Capital,BOFA,Current,GBP,167155,Medium,null,Unknown,7/5/2024,Expired,Invalid Email,Invalid,1712345678,Unknown,High Risk
61364,No,Beta Funds,HSBC,Current,GBP,null,Unknown,9.03,Medium,4/26/2024,Expired,client@bank.com,Valid,1712345678,Approved,Follow Up
null,Yes,Unknown Client,BOFA,Investment,BDT,382617,High,10.78,High,9/6/2024,Expired,client@mail.com,Valid,Unknown,Rejected,No Remarks
38679,No,Beta Funds,CITI,Loan,Unknown,381419,High,null,Unknown,5/4/2024,Expired,Invalid Email,Invalid,1712345678,Pending,Good Payer
31770,No,Mary Invest,CHASE,Savings,EUR,139771,Medium,11.67,High,2/23/2025,Expired,client@bank.com,Valid,1712345678,Rejected,Follow Up
50725,No,Unknown Client,CHASE,Current,GBP,null,Unknown,12.1,High,5/12/2024,Expired,Unknown,Missing,Unknown,Rejected,Follow Up
null,Yes,Beta Funds,Unknown Bank,Investment,GBP,485619,High,4.6,Low,3/20/2026,Expired,Invalid Email,Invalid,1712345678,Unknown,Follow Up
null,Yes,Mary Invest,Wells Fargo,Loan,Unknown,321431,High,null,Unknown,10/3/2024,Expired,Unknown,Missing,1712345678,Pending,Good Payer
null,Yes,John Capital,BOFA,Loan,BDT,null,Unknown,10.19,High,6/2/2026,Expired,Unknown,Missing,1712345678,Approved,High Risk
22358,No,John Capital,Wells Fargo,Investment,BDT,390079,High,null,Unknown,null,Unknown,client@mail.com,Valid,1712345678,Approved,High Risk
47113,No,John Capital,HSBC,Loan,EUR,null,Unknown,null,Unknown,null,Unknown,client@mail.com,Valid,1712345678,Unknown,High Risk
63510,No,Unknown Client,Wells Fargo,Savings,EUR,342081,High,null,Unknown,1/8/2025,Expired,Invalid Email,Invalid,1712345678,Approved,Follow Up
null,Yes,Alpha Holdings,CITI,Loan,USD,null,Unknown,null,Unknown,9/18/2024,Expired,client@bank.com,Valid,1712345678,Rejected,Good Payer
null,Yes,Alpha Holdings,Unknown Bank,Savings,Unknown,328759,High,null,Unknown,10/4/2024,Expired,Unknown,Missing,1712345678,Unknown,No Remarks
null,Yes,Unknown Client,Wells Fargo,Current,BDT,486774,High,null,Unknown,8/5/2025,Expired,Invalid Email,Invalid,1712345678,Unknown,No Remarks
52225,No,Alpha Holdings,Wells Fargo,Current,BDT,295640,Medium,null,Unknown,4/19/2024,Expired,client@bank.com,Valid,Unknown,Unknown,No Remarks
32611,No,Beta Funds,CHASE,Current,EUR,null,Unknown,null,Unknown,4/22/2026,Expired,Unknown,Missing,Unknown,Pending,Follow Up
86236,No,Beta Funds,CITI,Investment,Unknown,20182,Low,null,Unknown,9/26/2024,Expired,Unknown,Missing,1712345678,Pending,Good Payer
null,Yes,Beta Funds,Unknown Bank,Current,GBP,140693,Medium,7.89,Medium,10/22/2024,Expired,client@mail.com,Valid,1712345678,Pending,Good Payer
62524,No,Alpha Holdings,Unknown Bank,Loan,GBP,null,Unknown,null,Unknown,7/4/2024,Expired,Invalid Email,Invalid,1712345678,Rejected,High Risk
82234,No,Beta Funds,CITI,Investment,USD,null,Unknown,null,Unknown,9/29/2025,Expired,client@mail.com,Valid,Unknown,Approved,Good Payer
null,Yes,Unknown Client,Wells Fargo,Loan,GBP,null,Unknown,11.22,High,3/23/2026,Expired,Unknown,Missing,1712345678,Pending,High Risk
22853,No,John Capital,Unknown Bank,Savings,EUR,23168,Low,null,Unknown,7/17/2025,Expired,Invalid Email,Invalid,1712345678,Approved,Good Payer
null,Yes,Mary Invest,HSBC,Savings,BDT,396093,High,null,Unknown,null,Unknown,client@bank.com,Valid,1712345678,Unknown,Good Payer
67037,No,Beta Funds,Unknown Bank,Current,Unknown,152234,Medium,6.4,Medium,5/4/2026,Expired,Unknown,Missing,Unknown,Approved,Good Payer
null,Yes,Beta Funds,Unknown Bank,Investment,GBP,393266,High,5.52,Medium,null,Unknown,Unknown,Missing,1712345678,Approved,No Remarks
null,Yes,Mary Invest,BOFA,Savings,Unknown,87927,Low,null,Unknown,null,Unknown,Unknown,Missing,1712345678,Rejected,Follow Up
43521,No,Mary Invest,HSBC,Investment,Unknown,344969,High,null,Unknown,10/8/2025,Expired,client@bank.com,Valid,1712345678,Unknown,High Risk
44254,No,Alpha Holdings,CITI,Savings,USD,124010,Medium,3.89,Low,null,Unknown,client@bank.com,Valid,Unknown,Unknown,Good Payer
45649,No,Unknown Client,BOFA,Loan,USD,464934,High,9.33,Medium,12/21/2025,Expired,client@bank.com,Valid,1712345678,Approved,Follow Up
null,Yes,John Capital,Unknown Bank,Current,EUR,null,Unknown,null,Unknown,10/16/2025,Expired,Unknown,Missing,1712345678,Pending,No Remarks
null,Yes,Unknown Client,CHASE,Loan,Unknown,214530,Medium,8.28,Medium,7/18/2024,Expired,Unknown,Missing,Unknown,Rejected,No Remarks
null,Yes,Mary Invest,HSBC,Loan,BDT,null,Unknown,2.42,Low,10/4/2025,Expired,client@mail.com,Valid,1712345678,Pending,Follow Up
49763,No,Beta Funds,CHASE,Loan,Unknown,235855,Medium,null,Unknown,1/16/2024,Expired,client@mail.com,Valid,1712345678,Unknown,Follow Up
37293,No,Unknown Client,CHASE,Loan,BDT,184237,Medium,7.65,Medium,7/16/2024,Expired,Unknown,Missing,Unknown,Unknown,Follow Up
59877,No,Mary Invest,Wells Fargo,Savings,BDT,496409,High,null,Unknown,null,Unknown,Invalid Email,Invalid,Unknown,Unknown,No Remarks
52973,No,Mary Invest,Unknown Bank,Loan,BDT,242714,Medium,11.12,High,7/13/2025,Expired,client@bank.com,Valid,1712345678,Approved,Follow Up
null,Yes,Alpha Holdings,CITI,Savings,Unknown,171800,Medium,null,Unknown,6/30/2025,Expired,client@bank.com,Valid,Unknown,Unknown,High Risk
null,Yes,Alpha Holdings,HSBC,Loan,GBP,322004,High,8.39,Medium,1/19/2026,Expired,client@bank.com,Valid,1712345678,Pending,High Risk
null,Yes,Unknown Client,Unknown Bank,Current,GBP,449640,High,null,Unknown,5/16/2025,Expired,Invalid Email,Invalid,Unknown,Rejected,High Risk
null,Yes,Mary Invest,Wells Fargo,Current,Unknown,307351,High,2.69,Low,3/2/2026,Expired,Invalid Email,Invalid,Unknown,Unknown,No Remarks
64949,No,Alpha Holdings,CITI,Current,GBP,97851,Low,7.57,Medium,1/6/2026,Expired,Invalid Email,Invalid,1712345678,Unknown,No Remarks
null,Yes,Unknown Client,HSBC,Investment,Unknown,269195,Medium,null,Unknown,6/29/2024,Expired,Invalid Email,Invalid,Unknown,Rejected,Good Payer
66953,No,Unknown Client,Wells Fargo,Investment,Unknown,245436,Medium,3.87,Low,11/1/2024,Expired,Unknown,Missing,1712345678,Rejected,No Remarks
76595,No,Mary Invest,CITI,Current,USD,12600,Low,null,Unknown,9/3/2024,Expired,client@bank.com,Valid,Unknown,Pending,No Remarks
37010,No,Beta Funds,Unknown Bank,Savings,Unknown,null,Unknown,null,Unknown,5/4/2025,Expired,Unknown,Missing,Unknown,Rejected,Good Payer
null,Yes,John Capital,HSBC,Investment,BDT,null,Unknown,null,Unknown,5/26/2025,Expired,Invalid Email,Invalid,1712345678,Rejected,Good Payer
null,Yes,Alpha Holdings,HSBC,Loan,BDT,null,Unknown,4.8,Low,12/11/2025,Expired,client@mail.com,Valid,Unknown,Approved,Good Payer
78206,No,Unknown Client,Unknown Bank,Investment,Unknown,96890,Low,null,Unknown,7/30/2024,Expired,client@bank.com,Valid,1712345678,Rejected,Good Payer
null,Yes,Mary Invest,CHASE,Loan,BDT,401248,High,11.4,High,7/28/2024,Expired,client@bank.com,Valid,1712345678,Approved,High Risk
null,Yes,Alpha Holdings,Unknown Bank,Loan,EUR,396775,High,9.8,Medium,12/20/2024,Expired,Unknown,Missing,1712345678,Unknown,High Risk
11922,No,Mary Invest,CITI,Loan,BDT,294727,Medium,5.9,Medium,10/29/2025,Expired,Invalid Email,Invalid,1712345678,Approved,Good Payer
null,Yes,Alpha Holdings,BOFA,Investment,EUR,null,Unknown,null,Unknown,3/15/2025,Expired,Unknown,Missing,1712345678,Pending,No Remarks
16127,No,Alpha Holdings,Wells Fargo,Savings,BDT,285871,Medium,10.87,High,6/16/2026,Expired,client@mail.com,Valid,1712345678,Approved,Good Payer
37769,No,Alpha Holdings,Wells Fargo,Loan,Unknown,234854,Medium,2.28,Low,9/25/2025,Expired,Invalid Email,Invalid,1712345678,Rejected,No Remarks
89838,No,Unknown Client,CITI,Savings,BDT,180769,Medium,9.13,Medium,null,Unknown,client@mail.com,Valid,1712345678,Rejected,No Remarks
49687,No,Mary Invest,CITI,Current,USD,191976,Medium,9.69,Medium,null,Unknown,Invalid Email,Invalid,1712345678,Unknown,Good Payer
null,Yes,Beta Funds,BOFA,Current,EUR,300718,High,9.59,Medium,3/9/2026,Expired,client@bank.com,Valid,1712345678,Pending,Follow Up
null,Yes,Unknown Client,CITI,Current,EUR,null,Unknown,5.29,Medium,null,Unknown,client@bank.com,Valid,1712345678,Unknown,No Remarks
null,Yes,Mary Invest,Unknown Bank,Current,EUR,396567,High,3.67,Low,null,Unknown,client@bank.com,Valid,1712345678,Pending,High Risk
34619,No,Unknown Client,BOFA,Loan,USD,144075,Medium,7.68,Medium,4/20/2026,Expired,Unknown,Missing,1712345678,Unknown,Follow Up
null,Yes,Beta Funds,CHASE,Investment,GBP,323087,High,null,Unknown,null,Unknown,client@mail.com,Valid,1712345678,Approved,No Remarks
94898,No,Unknown Client,BOFA,Savings,Unknown,293582,Medium,9.31,Medium,2/12/2025,Expired,client@mail.com,Valid,Unknown,Approved,No Remarks
null,Yes,Alpha Holdings,CITI,Savings,Unknown,124916,Medium,4.96,Low,3/7/2024,Expired,client@bank.com,Valid,Unknown,Pending,Follow Up
null,Yes,John Capital,CITI,Current,EUR,200235,Medium,null,Unknown,8/11/2025,Expired,Invalid Email,Invalid,1712345678,Approved,Good Payer
null,Yes,Alpha Holdings,Unknown Bank,Current,BDT,null,Unknown,11.53,High,2/15/2024,Expired,Unknown,Missing,Unknown,Pending,Follow Up
null,Yes,Alpha Holdings,Wells Fargo,Savings,EUR,340763,High,12.37,High,null,Unknown,Invalid Email,Invalid,1712345678,Unknown,High Risk
10052,No,John Capital,HSBC,Loan,GBP,114013,Medium,8.51,Medium,null,Unknown,client@mail.com,Valid,Unknown,Approved,No Remarks
69101,No,John Capital,HSBC,Loan,Unknown,null,Unknown,8.04,Medium,12/25/2024,Expired,client@mail.com,Valid,Unknown,Pending,No Remarks
56017,No,Beta Funds,CHASE,Savings,EUR,482335,High,3.56,Low,null,Unknown,Invalid Email,Invalid,1712345678,Approved,Good Payer
null,Yes,Alpha Holdings,HSBC,Loan,USD,null,Unknown,null,Unknown,8/22/2025,Expired,Unknown,Missing,Unknown,Unknown,Good Payer
null,Yes,Unknown Client,CHASE,Investment,GBP,59115,Low,null,Unknown,5/19/2026,Expired,Invalid Email,Invalid,Unknown,Approved,High Risk
48611,No,Unknown Client,CHASE,Loan,Unknown,80743,Low,2.58,Low,1/26/2026,Expired,client@mail.com,Valid,1712345678,Approved,Good Payer
37957,No,Beta Funds,Unknown Bank,Current,BDT,308607,High,null,Unknown,3/13/2026,Expired,Invalid Email,Invalid,Unknown,Pending,High Risk
null,Yes,Unknown Client,HSBC,Current,EUR,438087,High,null,Unknown,5/18/2025,Expired,Unknown,Missing,1712345678,Approved,Follow Up
null,Yes,Beta Funds,CITI,Savings,USD,325148,High,12.49,High,10/12/2025,Expired,client@bank.com,Valid,1712345678,Pending,No Remarks
71312,No,Unknown Client,BOFA,Savings,EUR,403685,High,null,Unknown,1/13/2024,Expired,client@mail.com,Valid,1712345678,Rejected,No Remarks
null,Yes,Beta Funds,CITI,Investment,GBP,129649,Medium,5.17,Medium,9/29/2024,Expired,client@bank.com,Valid,1712345678,Approved,No Remarks
77304,No,Unknown Client,BOFA,Current,BDT,51088,Low,null,Unknown,8/12/2024,Expired,Unknown,Missing,1712345678,Pending,High Risk
96186,No,Beta Funds,BOFA,Investment,Unknown,417800,High,7.45,Medium,11/28/2025,Expired,Invalid Email,Invalid,1712345678,Pending,Good Payer
83571,No,John Capital,Wells Fargo,Savings,GBP,421672,High,11.35,High,null,Unknown,client@bank.com,Valid,1712345678,Approved,No Remarks
89543,No,Alpha Holdings,CITI,Current,GBP,438734,High,null,Unknown,6/20/2024,Expired,client@mail.com,Valid,Unknown,Pending,Good Payer
null,Yes,Unknown Client,BOFA,Savings,BDT,410534,High,5.77,Medium,null,Unknown,Unknown,Missing,1712345678,Pending,Follow Up
null,Yes,Beta Funds,Wells Fargo,Current,USD,208209,Medium,null,Unknown,6/2/2026,Expired,client@bank.com,Valid,1712345678,Unknown,Good Payer
null,Yes,Unknown Client,Wells Fargo,Savings,EUR,178728,Medium,11.94,High,1/2/2024,Expired,client@bank.com,Valid,1712345678,Unknown,No Remarks
15996,No,Alpha Holdings,CHASE,Savings,GBP,226634,Medium,6.09,Medium,null,Unknown,client@bank.com,Valid,1712345678,Approved,Follow Up
null,Yes,Alpha Holdings,Wells Fargo,Savings,USD,245163,Medium,2.88,Low,3/13/2025,Expired,client@bank.com,Valid,Unknown,Pending,No Remarks
null,Yes,Alpha Holdings,HSBC,Savings,Unknown,419610,High,null,Unknown,10/25/2024,Expired,Invalid Email,Invalid,Unknown,Unknown,Follow Up
null,Yes,Beta Funds,CITI,Savings,Unknown,null,Unknown,10.93,High,1/2/2024,Expired,client@mail.com,Valid,1712345678,Pending,High Risk
null,Yes,Alpha Holdings,Unknown Bank,Savings,USD,null,Unknown,null,Unknown,3/20/2025,Expired,Unknown,Missing,1712345678,Pending,Follow Up
null,Yes,Alpha Holdings,Unknown Bank,Loan,GBP,133415,Medium,null,Unknown,null,Unknown,client@bank.com,Valid,1712345678,Rejected,No Remarks
null,Yes,Alpha Holdings,HSBC,Current,GBP,94446,Low,11.75,High,12/31/2025,Expired,client@mail.com,Valid,Unknown,Pending,Follow Up
null,Yes,Mary Invest,HSBC,Investment,USD,97847,Low,null,Unknown,null,Unknown,Invalid Email,Invalid,1712345678,Pending,High Risk
null,Yes,Alpha Holdings,CHASE,Investment,Unknown,313342,High,11,High,null,Unknown,client@bank.com,Valid,1712345678,Pending,High Risk
53473,No,John Capital,CITI,Loan,GBP,null,Unknown,6.09,Medium,3/24/2025,Expired,client@bank.com,Valid,Unknown,Rejected,Follow Up
null,Yes,Unknown Client,HSBC,Current,GBP,362254,High,8.59,Medium,6/30/2025,Expired,client@mail.com,Valid,1712345678,Pending,Good Payer
29401,No,John Capital,CITI,Loan,GBP,null,Unknown,null,Unknown,2/17/2024,Expired,Unknown,Missing,1712345678,Approved,Follow Up
null,Yes,Beta Funds,Wells Fargo,Investment,EUR,276504,Medium,null,Unknown,2/15/2026,Expired,client@bank.com,Valid,1712345678,Rejected,High Risk
65484,No,Mary Invest,Unknown Bank,Loan,BDT,171276,Medium,11.7,High,9/4/2024,Expired,client@bank.com,Valid,1712345678,Unknown,No Remarks
51108,No,Mary Invest,Wells Fargo,Loan,EUR,28097,Low,8.87,Medium,null,Unknown,client@bank.com,Valid,1712345678,Pending,High Risk
null,Yes,Mary Invest,Wells Fargo,Savings,Unknown,175201,Medium,null,Unknown,8/28/2025,Expired,Unknown,Missing,Unknown,Approved,High Risk
68793,No,Alpha Holdings,Unknown Bank,Savings,EUR,418696,High,12.09,High,null,Unknown,Unknown,Missing,1712345678,Approved,Good Payer
17117,No,Mary Invest,HSBC,Current,USD,null,Unknown,10.88,High,null,Unknown,client@bank.com,Valid,1712345678,Approved,No Remarks
null,Yes,Beta Funds,Wells Fargo,Current,BDT,288646,Medium,null,Unknown,null,Unknown,Unknown,Missing,1712345678,Approved,Follow Up
null,Yes,Unknown Client,Wells Fargo,Loan,BDT,null,Unknown,null,Unknown,2/1/2025,Expired,Unknown,Missing,1712345678,Pending,Good Payer
null,Yes,Alpha Holdings,Wells Fargo,Loan,USD,473767,High,9.03,Medium,null,Unknown,Unknown,Missing,1712345678,Approved,High Risk
81068,No,Unknown Client,Wells Fargo,Loan,EUR,127750,Medium,null,Unknown,4/3/2026,Expired,client@mail.com,Valid,1712345678,Unknown,Good Payer
null,Yes,Unknown Client,CITI,Savings,GBP,null,Unknown,7.15,Medium,null,Unknown,client@bank.com,Valid,1712345678,Unknown,Good Payer
null,Yes,John Capital,Wells Fargo,Loan,EUR,null,Unknown,null,Unknown,null,Unknown,Unknown,Missing,1712345678,Unknown,High Risk
null,Yes,Alpha Holdings,Wells Fargo,Investment,BDT,1869,Low,4.59,Low,7/13/2024,Expired,Invalid Email,Invalid,1712345678,Pending,Follow Up
null,Yes,Unknown Client,CHASE,Current,BDT,222609,Medium,9.77,Medium,3/1/2024,Expired,client@mail.com,Valid,Unknown,Approved,Good Payer
null,Yes,Unknown Client,CITI,Loan,BDT,457567,High,null,Unknown,1/28/2024,Expired,client@bank.com,Valid,1712345678,Pending,No Remarks
null,Yes,John Capital,CHASE,Current,GBP,419049,High,1.75,Low,7/12/2025,Expired,Unknown,Missing,1712345678,Pending,Follow Up
56662,No,Mary Invest,Wells Fargo,Investment,BDT,null,Unknown,3.74,Low,4/26/2025,Expired,Unknown,Missing,Unknown,Rejected,No Remarks
